Company,Description,Item No,Mfg Code,Unit,Shelf PK,UPC No,Retail Dept,Savings,ADV SPEC,ADV REG,VP1 SPEC,VP1 REG,VP2 SPEC,VP2 REG
ESTWING MFG CO,HAMMER CURVED CLAW STL 16OZ,6506786Y,E3-16C,EA,2,	034139623618,HAND TOOLS,10.0%,19.32,21.47,21.11,23.46,20.39,22.66
MARSHALLTOWN TR,HAMMER RIP 19OZ CALIF WD 16OAL,6267306Y,CF2,EA,4,	051218116007,HAND TOOLS,10.0%,18.55,20.61,20.56,22.84,19.53,21.69
